node_id,x,y,head(m),pressure(kPa),velocity_x(m/s),velocity_y(m/s),gradient
91,163.0000,-10.0000,0.0000,98.1000,0.000000e+00,0.000000e+00,0.000000
92,-20.0000,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
93,-17.9890,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
94,-15.9780,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
95,-13.9670,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
96,-11.9560,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
97,-9.9451,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
98,-7.9341,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
99,-5.9231,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
100,-3.9121,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
101,-1.9011,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
102,0.1099,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
103,2.1209,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
104,4.1319,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
105,6.1429,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
106,8.1538,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
107,10.1648,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
108,12.1758,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
109,14.1868,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
110,16.1978,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
111,18.2088,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
112,20.2198,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
113,22.2308,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
114,24.2418,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
115,26.2527,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
116,28.2637,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
117,30.2747,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
118,32.2857,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
119,34.2967,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
120,36.3077,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
121,38.3187,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
122,40.3297,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
123,42.3407,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
124,44.3516,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
125,46.3626,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
126,48.3736,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
127,50.3846,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
128,52.3956,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
129,54.4066,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
130,56.4176,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
131,58.4286,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
132,60.4396,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
133,62.4505,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
134,64.4615,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
135,66.4725,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
136,68.4835,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
137,70.4945,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
138,72.5055,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
139,74.5165,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
140,76.5275,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
141,78.5385,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
142,80.5495,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
143,82.5604,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
144,84.5714,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
145,86.5824,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
146,88.5934,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
147,90.6044,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
148,92.6154,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
149,94.6264,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
150,96.6374,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
151,98.6484,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
152,100.6593,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
153,102.6703,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
154,104.6813,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
155,106.6923,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
156,108.7033,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
157,110.7143,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
158,112.7253,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
159,114.7363,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
160,116.7473,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
161,118.7582,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
162,120.7692,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
163,122.7802,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
164,124.7912,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
165,126.8022,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
166,128.8132,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
167,130.8242,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
168,132.8352,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
169,134.8462,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
170,136.8571,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
171,138.8681,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
172,140.8791,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
173,142.8901,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
174,144.9011,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
175,146.9121,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
176,148.9231,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
177,150.9341,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
178,152.9451,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
179,154.9560,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
180,156.9670,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
181,158.9780,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
182,160.9890,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
183,163.0000,-7.0000,0.0000,68.6700,0.000000e+00,0.000000e+00,0.000000
184,-20.0000,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
185,-17.9890,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
186,-15.9780,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
187,-13.9670,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
188,-11.9560,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
189,-9.9451,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
190,-7.9341,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
191,-5.9231,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
192,-3.9121,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
193,-1.9011,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
194,0.1099,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
195,2.1209,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
196,4.1319,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
197,6.1429,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
198,8.1538,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
199,10.1648,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
200,12.1758,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
201,14.1868,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
202,16.1978,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
203,18.2088,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
204,20.2198,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
205,22.2308,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
206,24.2418,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
207,26.2527,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
208,28.2637,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
209,30.2747,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
210,32.2857,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
211,34.2967,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
212,36.3077,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
213,38.3187,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
214,40.3297,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
215,42.3407,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
216,44.3516,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
217,46.3626,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
218,48.3736,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
219,50.3846,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
220,52.3956,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
221,54.4066,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
